ts_code,symbol,name,market,area,industry,ths_industry,ths_concepts,pe,pb,total_mv,circ_mv,turnover_rate,turnover_rate_f,list_date,cr_end_date,current_ratio,fcf_end_date,fcf
688802.SH,688802,沐曦股份-U,科创板,上海,半导体,信息技术(A股),融资融券|新股与次新股|人工智能|芯片概念|注册制次新股|科创次新股|东数西算(算力)|先进封装|信创,,22.4558,29413751.6,1333504.7391,11.4421,11.4421,20251217,,,,
688795.SH,688795,摩尔线程-U,科创板,北京,半导体,信息技术(A股),融资融券|新股与次新股|人工智能|芯片概念|注册制次新股|科创次新股,,28.8892,33278937.82,2080331.6936,11.5752,11.5752,20251205,,,,
920050.BJ,920050,爱舍伦,北交所,江苏,医疗保健,医疗保健(A股),融资融券|养老概念|医疗器械概念|新股与次新股|人民币贬值受益,21.623,1.9983,203444.078,54416.5689,2.082,2.2057,20260121,,,,
920076.BJ,920076,国亮新材,北交所,河北,其他建材,原材料(A股),融资融券|新股与次新股|锂电池概念|钠离子电池|专精特新,21.5178,1.7105,170697.9961,53695.6995,2.3657,2.3657,20260122,,,,
920086.BJ,920086,科马材料,北交所,浙江,汽车配件,非日常生活消费品(A股),融资融券|新能源汽车|新股与次新股|华为概念|华为汽车|专精特新|比亚迪概念,27.6273,2.8202,247860.16,79217.209,9.305,9.305,20260116,,,,
603352.SH,603352,至信股份,主板,重庆,汽车配件,非日常生活消费品(A股),融资融券|新能源汽车|新股与次新股|宁德时代概念|注册制次新股|专精特新|比亚迪概念|长安汽车概念|西部大开发,31.51,2.4245,716720.0011,140463.5403,4.2635,4.2635,20260115,20260331,1.7545,,
920159.BJ,920159,农大科技,北交所,山东,农药化肥,原材料(A股),融资融券|生态农业|新股与次新股|数字乡村|化肥|合成生物|AI应用,18.5761,2.38,264480.0,50112.0,5.7806,5.7806,20260128,,,,
688785.SH,688785,恒运昌,科创板,深圳,半导体,信息技术(A股),融资融券|新股与次新股|芯片概念|中芯国际概念|注册制次新股|科创次新股,237.8829,12.1327,2708067.52,509106.6,10.1041,10.1041,20260128,,,,
920119.BJ,920119,美德乐,北交所,辽宁,专用机械,工业(A股),融资融券|高端装备|新股与次新股|智能物流|比亚迪概念|固态电池,21.6952,3.0553,588670.1006,154888.3676,2.6721,2.6721,20260130,,,,
601112.SH,601112,振石股份,主板,浙江,玻璃,原材料(A股),融资融券|新能源汽车|光伏概念|新股与次新股|风电|碳纤维|注册制次新股|比亚迪概念,45.7648,5.1107,3358907.0883,342092.3186,5.7147,5.7147,20260129,20260331,1.7464,,
001220.SZ,001220,世盟股份,主板,北京,仓储物流,工业(A股),融资融券|京津冀一体化|新股与次新股|智能物流|注册制次新股,22.3456,1.9929,311201.88,76236.3611,4.7497,4.7497,20260203,20260331,9.1437,20260331,27948442.35
688712.SH,688712,北芯生命,科创板,深圳,医疗保健,医疗保健(A股),融资融券|新股与次新股|注册制次新股|科创次新股,237.2792,10.7582,1898601.0,168983.2291,8.8605,8.8605,20260205,,,,
