ts_code,csname,extname,cname,index_code,index_name,list_date,exchange
159233.SZ,平安中证全指自由现金流ETF,自由现金流ETF平安,平安中证全指自由现金流交易型开放式指数证券投资基金,932365.CSI,中证全指自由现金流指数,20250604,SZ
159235.SZ,大成中证全指自由现金流ETF,中证现金流ETF大成,大成中证全指自由现金流交易型开放式指数证券投资基金,932365.CSI,中证全指自由现金流指数,20250430,SZ
159236.SZ,自由现金流ETF工银,自由现金流ETF工银,工银瑞信中证全指自由现金流交易型开放式指数证券投资基金,932365.CSI,中证全指自由现金流指数,20250516,SZ
159237.SZ,港股汽车ETF工银,港股汽车ETF工银,工银瑞信中证港股通汽车产业主题交易型开放式指数证券投资基金,931239.CSI,中证港股通汽车产业主题指数,20250707,SZ
159238.SZ,景顺长城沪深300增强策略ETF,沪深300增强ETF景顺,景顺长城沪深300增强策略交易型开放式指数证券投资基金,000300.SH,沪深300指数,20250609,SZ
159239.SZ,富国恒生港股通汽车主题ETF,港股通汽车ETF富国,富国恒生港股通汽车主题交易型开放式指数证券投资基金,HSSCAM.HI,恒生港股通汽车主题指数,20250528,SZ
159240.SZ,天弘中证A500增强策略ETF,A500增强ETF天弘,天弘中证A500增强策略交易型开放式指数证券投资基金,000510.SH,中证A500指数,20250617,SZ
159241.SZ,天弘国证航天航空行业ETF,航空航天ETF天弘,天弘国证航天航空行业交易型开放式指数证券投资基金,CN5082.SZ,国证航天航空行业指数,20250529,SZ
159242.SZ,大成创业板人工智能ETF,创业板人工智能ETF大成,大成创业板人工智能交易型开放式指数证券投资基金,970070.SZ,创业板人工智能指数,20250724,SZ
159243.SZ,招商创业板人工智能ETF,创业板人工智能ETF招商,招商创业板人工智能交易型开放式指数证券投资基金,970070.SZ,创业板人工智能指数,20260105,SZ
159245.SZ,富国国证港股通消费主题ETF,港股通消费ETF富国,富国国证港股通消费主题交易型开放式指数证券投资基金,987024.SZ,国证港股通消费主题指数,20250619,SZ
159246.SZ,富国创业板人工智能ETF,创业板人工智能ETF富国,富国创业板人工智能交易型开放式指数证券投资基金,970070.SZ,创业板人工智能指数,20250710,SZ
159247.SZ,汇添富创业板ETF,创业板ETF汇添富,汇添富创业板交易型开放式指数证券投资基金,399006.SZ,创业板指数,20260202,SZ
